Posting Date,Entry Type,Document Type,Document No.,Item No.,Description,Brand Code,Production Date,Expiration Date,Lot No.,Location Code,Quantity,Invoiced Quantity,Remaining Quantity,Net Weight,Quantity (Source UOM),Sales Amount (Actual),Cost Amount (Actual),Cost Amount (Non-Invtbl.),Open,Order Type,Entry No.,Item Category Code,Product Group Code
5/23/2019,Sale,Sales Shipment,SHP103339,01-11-019-OG,"OG Mixed Heirloom Tomatoes, 10 lb...",,,5/20/2020,G-WO-140,DURHAM,-5,-5,0,0,-5,165,-130,0,No, ,6267,TOMATOES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-11-031-OG,"OG Red Grape Tomatoes, 12 ct...",,,5/22/2020,G-WJ-142,DURHAM,-4,-4,0,0,-4,120,-86,0,No, ,6266,TOMATOES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-46-030-OG,"OG Covington Sweet Potatoes, 40 lb",,,5/14/2020,G-WT-133,DURHAM,-1,-1,0,-40,-1,42,-30,0,No, ,6265,SWEET POTATOES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-46-001-NC,"Non-Cert. Murasaki Sweet Potato, 40 lb.",,,5/1/2020,G-RG-121,DURHAM,-1,-1,0,-40,-1,38,-28,0,No, ,6264,SWEET POTATOES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-06-007-OG,"OG Red Onions, 25 lb.....",,,5/4/2020,G-OS-124,DURHAM,-1,-1,0,0,-1,26,-22.5,0,No, ,6263,ONIONS,
5/23/2019,Sale,Sales Shipment,SHP103339,01-04-028-OG,"OG Lacinato ""Dino"" Kale, bunched, 24 ct...",,,5/22/2020,G-CO-142,DURHAM,-2,-2,0,-50,-2,69,-58,0,No, ,6262,KALES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-04-023-OG,"OG Green Kale, bunched, 24 ct...",,,5/20/2020,G-CO-140,DURHAM,-1,-1,0,-20,-1,32.5,-26,0,No, ,6261,KALES,
5/23/2019,Sale,Sales Shipment,SHP103339,01-03-023-OG,"OG Red Cabbage, 45 lb., Florida",,,5/8/2020,IN-128,DURHAM,-1,-1,0,0,-1,36,-31.74,0,No, ,6260,CABBAGE,
5/23/2019,Sale,Sales Shipment,SHP103339,01-03-011-OG,"OG Green Cabbage, 45 lb...",,,5/15/2020,G-IN-134,DURHAM,-1,-1,0,0,-1,32,-26.76,0,No, ,6259,CABBAGE,
5/23/2019,Sale,Sales Shipment,SHP103339,01-02-013-OG,"OG Broccoli, bunched, 14 ct...",,,5/17/2020,G-OD-137,DURHAM,-5,-5,0,0,-5,235,-195,0,No, ,6258,BROCCOLI,
